name	GSM3748102_allc_SAMPLE.tsv	Pool_1000_AD002_indexed.tar.gz	Pool_1000_AD002_indexed
cg11813544		0.0	0.0
cg03123608		0.0	0.0
cg03123608		0.0	0.0
cg21539594		0.0	0.0
cg21539594		0.0	0.0
cg10430904		0.0	0.0
cg10430904		0.0	0.0
cg15187606		0.0	0.0
cg15187606		0.0	0.0
cg00754357		0.0	0.0
cg00754357		0.0	0.0
cg20741386		0.0	0.0
cg20741386		0.0	0.0
cg04873053		0.0	0.0
cg04873053		0.0	0.0
cg21812476		0.0	0.0
cg21812476		0.0	0.0
cg20511056		0.0	0.0
cg20511056		0.0	0.0
cg11949335		1.0	1.0
cg11949335		1.0	1.0
cg02058215		0.0	0.0
cg02058215		0.0	0.0
cg22022927		1.0	1.0
cg22022927		1.0	1.0
cg27307757		0.0	0.0
cg27307757		0.0	0.0
cg13932364		0.0	0.0
cg13932364		0.0	0.0
cg11157185		0.0	0.0
cg11157185		0.0	0.0
cg04211018		0.0	0.0
cg04211018		0.0	0.0
cg05539515		0.0	0.0
cg05539515		0.0	0.0
cg00597687		0.0	0.0
cg00597687		0.0	0.0
cg11668419		1.0	1.0
cg11668419		1.0	1.0
cg03582761		0.0	0.0
cg03582761		0.0	0.0
cg06914015		0.0	0.0
cg06914015		0.0	0.0
cg15991082		0.0	0.0
cg15991082		0.0	0.0
cg20960181		0.0	0.0
cg20960181		0.0	0.0
cg20633321		0.0	0.0
cg20633321		0.0	0.0
cg10798395		0.0	0.0
cg10798395		0.0	0.0
cg23112651		0.0	0.0
cg23112651		0.0	0.0
cg06533314		0.0	0.0
cg06533314		0.0	0.0
cg18146737		0.0	0.0
cg18146737		0.0	0.0
cg09935388		0.0	0.0
cg09935388		0.0	0.0
cg19366591		0.0	0.0
cg19366591		0.0	0.0
cg00116430		0.0	0.0
cg00116430		0.0	0.0
cg12593746		0.0	0.0
cg12593746		0.0	0.0
cg26357241		0.0	0.0
cg26357241		0.0	0.0
cg00372940		1.0	1.0
cg00372940		1.0	1.0
cg08644463		0.0	0.0
cg08644463		0.0	0.0
cg01084918		0.0	0.0
cg01084918		0.0	0.0
cg22427477		0.0	0.0
cg22427477		0.0	0.0
cg27291710		1.0	1.0
cg27291710		1.0	1.0
cg02574734		1.0	1.0
cg02574734		1.0	1.0
cg11855834		0.0	0.0
cg11855834		0.0	0.0
cg13912721		0.0	0.0
cg13912721		0.0	0.0
cg00102955		0.0	0.0
cg00102955		0.0	0.0
cg14207163		0.0	0.0
cg14207163		0.0	0.0
cg25373063		0.0	0.0
cg25373063		0.0	0.0
cg09804220		0.0	0.0
cg09804220		0.0	0.0
cg07958619		0.0	0.0
cg07958619		0.0	0.0
cg01834625		0.0	0.0
cg01834625		0.0	0.0
cg18149207		0.0	0.0
cg18149207		0.0	0.0
cg07548383		0.0	0.0
cg07548383		0.0	0.0
cg05921170		0.0	0.0
cg05921170		0.0	0.0
cg05927274		0.0	0.0
cg05927274		0.0	0.0
cg23890158		0.0	0.0
cg23890158		0.0	0.0
cg24312771		0.0	0.0
cg24312771		0.0	0.0
cg07344147		0.0	0.0
cg07344147		0.0	0.0
cg02068538		0.0	0.0
cg02068538		0.0	0.0
cg07980460		0.0	0.0
cg07980460		0.0	0.0
cg03438943		0.0	0.0
cg03438943		0.0	0.0
cg19303763		0.0	0.0
cg19303763		0.0	0.0
cg09064148		0.0	0.0
cg09064148		0.0	0.0
cg19402335		0.0	0.0
cg19402335		0.0	0.0
cg04603146		0.0	0.0
cg04603146		0.0	0.0
cg05393023		0.0	0.0
cg05393023		0.0	0.0
cg20987072		0.0	0.0
cg20987072		0.0	0.0
cg00103398		0.0	0.0
cg00103398		0.0	0.0
cg12629244		1.0	1.0
cg12629244		1.0	1.0
cg21776577		0.0	0.0
cg21776577		0.0	0.0
cg27473416		0.0	0.0
cg27473416		0.0	0.0
cg23474794		0.0	0.0
cg23474794		0.0	0.0
cg11848740		0.0	0.0
cg11848740		0.0	0.0
cg04881125		0.0	0.0
cg04881125		0.0	0.0
cg06805320		0.0	0.0
cg06805320		0.0	0.0
cg02996471		0.0	0.0
cg26630171		0.0	0.0
cg18610289		0.0	0.0
cg01263877		0.0	0.0
cg18593654		0.0	0.0
cg10020883		0.0	0.0
cg14951193		0.0	0.0
cg04848343		0.0	0.0
cg17317124		0.0	0.0
cg16505953		0.0	0.0
cg25761809		0.0	0.0
cg07846737		0.0	0.0
cg25136310		0.0	0.0
cg13624418		0.0	0.0
cg14789178		0.0	0.0
cg11207954		0.0	0.0
cg00818822		0.0	0.0
cg11355029		0.0	0.0
cg07682645		0.0	0.0
cg05321510		0.0	0.0
cg23190402		0.0	0.0
cg26224499		0.0	0.0
cg03259415		0.0	0.0
cg21892967		0.0	0.0
cg26496705		0.0	0.0
cg04849025		0.0	0.0
cg22201588		0.0	0.0
cg27542552		0.0	0.0
cg06658864		0.0	0.0
cg01612478		0.0	0.0
cg08466351		0.0	0.0
cg26223654		0.0	0.0
cg11413800		0.0	0.0
cg04416414		0.0	0.0
cg24039310		1.0	1.0
cg18420708		0.0	0.0
cg08457898		1.0	1.0
cg26771969		0.0	0.0
cg27569742		0.0	0.0
cg22634916		0.0	0.0
cg00038584		0.0	0.0
cg10357657		0.0	0.0
cg17414380		0.0	0.0
cg20644253		0.0	0.0
cg10215766		0.0	0.0
cg10738025		0.0	0.0
cg17744368		1.0	1.0
cg16020118		0.0	0.0
cg14749396		0.0	0.0
cg26986236		1.0	1.0
cg05620261		0.0	0.0
cg23684682		0.0	0.0
cg22060113		0.0	0.0
cg02848329		0.0	0.0
cg22379207		0.0	0.0
cg07856758		1.0	1.0
cg19556473		0.0	0.0
cg07746323		1.0	1.0
cg07480327		0.0	0.0
cg16525281		0.0	0.0
cg01112965		0.0	0.0
cg24835021		0.0	0.0
cg08199133		0.0	0.0
cg18763720		0.0	0.0
cg18851831		0.0	0.0
cg23319982		0.0	0.0
cg01600621		0.0	0.0
cg08261125		0.0	0.0
cg25456968		0.0	0.0
cg08155817		0.0	0.0
cg11305202		0.0	0.0
cg15480830		0.0	0.0
cg11866049		0.0	0.0
cg24760577		0.0	0.0
cg01032398		0.0	0.0
cg04347059		1.0	1.0
cg27074720		0.0	0.0
cg19401969		0.0	0.0
cg14111579		0.0	0.0
cg21573745		0.0	0.0
cg22942571		0.0	0.0
cg17377463		0.0	0.0
cg07990198		0.0	0.0
cg07869434		0.0	0.0
cg18550003		0.0	0.0
cg02674712		0.0	0.0
cg03251287		1.0	1.0
cg15225378		0.0	0.0
cg09912803		0.0	0.0
cg03067828		1.0	1.0
cg05264510		0.0	0.0
cg10753636		0.0	0.0
cg11880023		0.0	0.0
cg10782875		0.0	0.0
cg03601644		0.0	0.0
cg14876043		0.0	0.0
cg15681462		0.0	0.0
cg06423357		0.0	0.0
cg26351481		0.0	0.0
cg18576158		0.0	0.0
cg12096988		0.0	0.0
cg03637381		0.0	0.0
cg18117601		0.0	0.0
cg17408527		0.0	0.0
cg12581229		0.0	0.0
cg09594291		0.0	0.0
cg03488097		0.0	0.0
cg21040360		0.0	0.0
cg15541040		0.0	0.0
cg04221274		0.0	0.0
cg20426361		0.0	0.0
cg01407018		0.0	0.0
cg08397828		0.0	0.0
cg12515366		0.0	0.0
cg24231854		0.0	0.0
cg10879683		0.0	0.0
cg01517500		0.0	0.0
cg10613252		0.0	0.0
cg04163638		0.0	0.0
cg14768459		1.0	1.0
cg05785686		0.0	0.0
cg05899618		0.0	0.0
cg23009508		0.0	0.0
cg13401339		0.0	0.0
cg02315489		0.0	0.0
cg03813964		0.0	0.0
cg27449030		0.0	0.0
cg19541697		0.0	0.0
cg25181710		0.0	0.0
cg00594547		1.0	1.0
cg00747065		0.0	0.0
cg08235500		0.0	0.0
cg01967379		0.0	0.0
cg21484680		0.0	0.0
cg19640339		0.0	0.0
cg23167594		0.0	0.0
cg15998518		0.0	0.0
cg17284481		0.0	0.0
cg19653117		0.0	0.0
ch.2.797627R		0.0	0.0
cg01598371		0.0	0.0
cg10201712		0.0	0.0
cg11113753		0.0	0.0
cg16140139		0.0	0.0
cg06168026		0.0	0.0
cg23924526		0.0	0.0
cg26688816		0.0	0.0
cg04981611		0.0	0.0
cg26845036		0.0	0.0
cg23008136		1.0	1.0
cg20122981		0.0	0.0
cg01656048		0.0	0.0
cg00783877		0.0	0.0
cg23973310		0.0	0.0
cg23279522		0.0	0.0
cg05164666		0.0	0.0
cg02737068		0.0	0.0
cg25995397		1.0	1.0
cg19543987		0.0	0.0
cg00495896		0.0	0.0
cg03719070		0.0	0.0
cg08963013		0.0	0.0
cg11252801		0.0	0.0
ch.2.78120589R		0.0	0.0
cg12393275		0.0	0.0
cg25651505		0.0	0.0
cg04589210		0.0	0.0
cg14734994		0.0	0.0
cg21789510		0.0	0.0
cg06150148		0.0	0.0
cg15840891		0.0	0.0
cg27471156		0.0	0.0
cg11918172		0.0	0.0
cg07171538		0.0	0.0
cg25341423		0.0	0.0
cg05506365		0.0	0.0
cg15139063		0.0	0.0
cg23093016		0.0	0.0
cg09286409		0.0	0.0
cg20969643		0.0	0.0
cg11066750		0.0	0.0
cg20231883		0.0	0.0
cg27457925		0.0	0.0
cg00280895		0.0	0.0
cg19448478		1.0	1.0
cg06829154		0.0	0.0
cg16724175		0.0	0.0
cg08053204		0.0	0.0
cg16884854		0.0	0.0
cg12031896		0.0	0.0
cg04095711		0.0	0.0
cg14430698		0.0	0.0
cg17321385		0.0	0.0
cg25953146		0.0	0.0
cg13491662		0.0	0.0
cg20384990		0.0	0.0
cg07063914		0.0	0.0
cg27533534		0.0	0.0
cg10508780		0.0	0.0
cg15228671		0.0	0.0
cg25750814		0.0	0.0
cg26818390		0.0	0.0
cg16248187		0.0	0.0
cg22855933		0.0	0.0
cg17654050		0.0	0.0
cg02054535		0.0	0.0
cg02665102		0.0	0.0
cg02642021		0.0	0.0
cg03331300		0.0	0.0
cg06371280		0.0	0.0
cg04337734		0.0	0.0
cg12941622		0.0	0.0
cg08750504		0.0	0.0
cg02493614		0.0	0.0
cg17928799		0.0	0.0
cg04686481		0.0	0.0
cg04868962		0.0	0.0
cg11073796		0.0	0.0
cg04414946		0.0	0.0
cg02639619		0.0	0.0
cg21911363		0.0	0.0
cg21175761		0.0	0.0
cg16796107		0.0	0.0
cg04298609		0.0	0.0
cg21765440		0.0	0.0
cg19732480		0.0	0.0
cg17420696		0.0	0.0
cg27047283		0.0	0.0
cg07337720		0.0	0.0
cg17458755		0.0	0.0
cg02973734		0.0	0.0
cg15391239		0.0	0.0
