	0
278	cg06243638
279	cg06272555
280	cg06291428
281	cg06306219
282	cg06315149
283	cg06369076
284	cg06374862
285	cg06410723
286	cg06432889
287	cg06450340
288	cg06502391
289	cg06504953
290	cg06555468
291	cg06568880
292	cg06568945
293	cg06601071
294	cg06658391
295	cg06673374
296	cg06675981
297	cg06694826
298	cg06700877
299	cg06721435
300	cg06721910
301	cg06734096
302	cg06747770
303	cg06768361
304	cg06805366
305	cg06814248
306	cg06828418
307	cg06847541
308	cg06856130
309	cg06939307
310	cg07002540
311	cg07060074
312	cg07125725
313	cg07133479
314	cg07143462
315	cg07162264
316	cg07256732
317	cg07264216
318	cg07316730
319	cg07389319
320	cg07410188
321	cg07431832
322	cg07450021
323	cg07478098
324	cg07495335
325	cg07509941
326	cg07517948
327	cg07566304
328	cg07584558
329	cg07603058
330	cg07616471
331	cg07619820
332	cg07630601
333	cg07641323
334	cg07655126
335	cg07688618
336	cg07702689
337	cg07712892
338	cg07721852
339	cg07728865
340	cg07739340
341	cg07755228
342	cg07775292
343	cg07854989
344	cg07896398
345	cg07897063
346	cg07897734
347	cg07902106
348	cg07949587
349	cg07955754
350	cg07993518
351	cg08012294
352	cg08019542
353	cg08045465
354	cg08055846
355	cg08055860
356	cg08074458
357	cg08080195
358	cg08087047
359	cg08130572
360	cg08139729
361	cg08172463
362	cg08213398
363	cg08214660
364	cg08243981
365	cg08257147
366	cg08315530
367	cg08332992
368	cg08336638
369	cg08337633
370	cg08355910
371	cg08368624
372	cg08375286
373	cg08381578
374	cg08404597
375	cg08479615
376	cg08486432
377	cg08515427
378	cg08538069
379	cg08560070
380	cg08583841
381	cg08585614
382	cg08604181
383	cg08610982
384	cg08639757
385	cg08657911
386	cg08662013
387	cg08698681
388	cg08708167
389	cg08724085
390	cg08724920
391	cg08730245
392	cg08769464
393	cg08771076
394	cg08786188
395	cg08787146
396	cg08828733
397	cg08847738
398	cg08872220
399	cg08911152
400	cg08941080
401	cg08972363
402	cg08978750
403	cg08999352
404	cg09027879
405	cg09029409
406	cg09067506
407	cg09144580
408	cg09221159
409	cg09234474
410	cg09242530
411	cg09267206
412	cg09288894
413	cg09292296
414	cg09299082
415	cg09322573
416	cg09351747
417	cg09364595
418	cg09366734
419	cg09385401
420	cg09401696
421	cg09552281
422	cg09605317
423	cg09607102
424	cg09627709
425	cg09704765
426	cg09740379
427	cg09754225
428	cg09790270
429	cg09915500
430	cg09946623
431	cg09948350
432	cg09963856
433	cg10008461
434	cg10026775
435	cg10037913
436	cg10043448
437	cg10058508
438	cg10077978
439	cg10079707
440	cg10096215
441	cg10165241
442	cg10165610
443	cg10167301
444	cg10168351
445	cg10225620
446	cg10245608
447	cg10253083
448	cg10266741
449	cg10266935
450	cg10283108
451	cg10368122
452	cg10408324
453	cg10416312
454	cg10458600
455	cg10475683
456	cg10475778
457	cg10480329
458	cg10495047
459	cg10515688
460	cg10583651
461	cg10595031
462	cg10600600
463	cg10610725
464	cg10638769
465	cg10650821
466	cg10699171
467	cg10709729
468	cg10718835
469	cg10727316
470	cg10761804
471	cg10769072
472	cg10776839
473	cg10782139
474	cg10800833
475	cg10854528
476	cg10898971
477	cg10900543
478	cg10901900
479	cg10934350
480	cg10934870
481	cg10948186
482	cg10977890
483	cg11021927
484	cg11036669
485	cg11064980
486	cg11112605
487	cg11133963
488	cg11215274
489	cg11225266
490	cg11228682
491	cg11266582
492	cg11267205
493	cg11311865
494	cg11330681
495	cg11341610
496	cg11342429
497	cg11411904
498	cg11415852
499	cg11432630
500	cg11473412
501	cg11474081
502	cg11507059
503	cg11514965
504	cg11555752
505	cg11606229
506	cg11678039
507	cg11685391
508	cg11714010
509	cg11759703
510	cg11778706
511	cg11785812
512	cg11793573
513	cg11808745
514	cg11811510
515	cg11834951
516	cg11837076
517	cg11838359
518	cg11950777
519	cg11958949
520	cg11977361
521	cg12000228
522	cg12043508
523	cg12090885
524	cg12132133
525	cg12141898
526	cg12145099
527	cg12149703
528	cg12184988
529	cg12230869
530	cg12246203
531	cg12255554
532	cg12274567
533	cg12286428
534	cg12310881
535	cg12336540
536	cg12364074
537	cg12369481
538	cg12392667
539	cg12457604
540	cg12546414
541	cg12585851
542	cg12591454
543	cg12610832
544	cg12623364
545	cg12629186
546	cg12705326
547	cg12709196
548	cg12716601
549	cg12741645
550	cg12743031
551	cg12782654
552	cg12790664
553	cg12810503
554	cg12859373
555	cg12873119
556	cg12975667
557	cg13022312
558	cg13091627
559	cg13108141
560	cg13123771
561	cg13132267
562	cg13169863
563	cg13174406
564	cg13188892
565	cg13192487
566	cg13233688
567	cg13298405
568	cg13311440
569	cg13326482
570	cg13396060
571	cg13408344
572	cg13433278
573	cg13474790
574	cg13478400
575	cg13487687
576	cg13585320
577	cg13601650
578	cg13613174
579	cg13623108
580	cg13636189
581	cg13647520
582	cg13699412
583	cg13699845
584	cg13714475
585	cg13733008
586	cg13757832
587	cg13759894
588	cg13788583
589	cg13831483
590	cg13855589
591	cg13885867
592	cg13899478
593	cg13928417
594	cg13973666
595	cg13999188
596	cg14018617
597	cg14027234
598	cg14037240
599	cg14043316
600	cg14055887
601	cg14091149
602	cg14095431
603	cg14095525
604	cg14110920
605	cg14133557
606	cg14227558
607	cg14255417
608	cg14297410
609	cg14332439
610	cg14365488
611	cg14371571
612	cg14375890
613	cg14426596
614	cg14463395
615	cg14484844
616	cg14497465
617	cg14512975
618	cg14557721
619	cg14588638
620	cg14600450
621	cg14654849
622	cg14655471
623	cg14656127
624	cg14656948
625	cg14663208
626	cg14664187
627	cg14673722
628	cg14674171
629	cg14733053
630	cg14772800
631	cg14776168
632	cg14830270
633	cg14837810
634	cg14848575
635	cg14858784
636	cg14884931
637	cg14901879
638	cg14906459
639	cg14966453
640	cg15022277
641	cg15026609
642	cg15027815
643	cg15079206
644	cg15143370
645	cg15169266
646	cg15175038
647	cg15213052
648	cg15256315
649	cg15363053
650	cg15384400
651	cg15408905
652	cg15472145
653	cg15513001
654	cg15661018
655	cg15747256
656	cg15757195
657	cg15757430
658	cg15789789
659	cg15810023
660	cg15816978
661	cg15818729
662	cg15819551
663	cg15861806
664	cg15876825
665	cg15903883
666	cg15934644
667	cg15935925
668	cg15951740
669	cg16005070
670	cg16008150
671	cg16009632
672	cg16031671
673	cg16036025
674	cg16039954
675	cg16070350
676	cg16099687
677	cg16102040
678	cg16217672
679	cg16297569
680	cg16322427
681	cg16333210
682	cg16348076
683	cg16386158
684	cg16420024
685	cg16458838
686	cg16495530
687	cg16495681
688	cg16509531
689	cg16550651
690	cg16576285
691	cg16592434
692	cg16596052
693	cg16621591
694	cg16630762
695	cg16648971
696	cg16669099
697	cg16670376
698	cg16694480
699	cg16742028
700	cg16753353
701	cg16777216
702	cg16781484
703	cg16786843
704	cg16827313
705	cg16893868
706	cg16919680
707	cg16966909
708	cg17035174
709	cg17039369
710	cg17047253
711	cg17059181
712	cg17062760
713	cg17080168
714	cg17116998
715	cg17148532
716	cg17155111
717	cg17155829
718	cg17173604
719	cg17248730
720	cg17261469
721	cg17291906
722	cg17333501
723	cg17343120
724	cg17371857
725	cg17374802
726	cg17379926
727	cg17413540
728	cg17458390
729	cg17459743
730	cg17473266
731	cg17475883
732	cg17487741
733	cg17491554
734	cg17518643
735	cg17522929
736	cg17524382
737	cg17526357
738	cg17559642
739	cg17566716
740	cg17599983
741	cg17636851
742	cg17667113
743	cg17682828
744	cg17688072
745	cg17689473
746	cg17691428
747	cg17701258
748	cg17717565
749	cg17808849
750	cg17821137
751	cg17846460
752	cg17851021
753	cg17976620
754	cg17985505
755	cg18082735
756	cg18133309
757	cg18144849
758	cg18152211
759	cg18158438
760	cg18254053
761	cg18327204
762	cg18361915
763	cg18367488
764	cg18405880
765	cg18445718
766	cg18465149
767	cg18505004
768	cg18543312
769	cg18550847
770	cg18559386
771	cg18582631
772	cg18585849
773	cg18624930
774	cg18672880
775	cg18687845
776	cg18688142
777	cg18705895
778	cg18718503
779	cg18750819
780	cg18775804
781	cg18786809
782	cg18796478
783	cg18833482
784	cg18850343
785	cg18894097
786	cg18935353
787	cg18948661
788	cg18993911
789	cg19006135
790	cg19033466
791	cg19060203
792	cg19064792
793	cg19215003
794	cg19220206
795	cg19261633
796	cg19329549
797	cg19371349
798	cg19434673
799	cg19435547
800	cg19486047
801	cg19555405
802	cg19594156
803	cg19656615
804	cg19706185
805	cg19767562
806	cg19788934
807	cg19802638
808	cg19805435
809	cg19807446
810	cg19850895
811	cg19856897
812	cg19861222
813	cg19880425
814	cg19918549
815	cg19929822
816	cg19932887
817	cg19935718
818	cg19959921
819	cg20006618
820	cg20029347
821	cg20030158
822	cg20066792
823	cg20172724
824	cg20191924
825	cg20201669
826	cg20237547
827	cg20276144
828	cg20315954
829	cg20330224
830	cg20433365
831	cg20471600
832	cg20505490
833	cg20510225
834	cg20517277
835	cg20600379
836	cg20608786
837	cg20641531
838	cg20652042
839	cg20695119
840	cg20716064
841	cg20728464
842	cg20806436
843	cg20809427
844	cg20811072
845	cg20813776
846	cg20898725
847	cg20922366
848	cg21015019
849	cg21057467
850	cg21059158
851	cg21091766
852	cg21110034
853	cg21114453
854	cg21129261
855	cg21165029
856	cg21235018
857	cg21281164
858	cg21297965
859	cg21298750
860	cg21301319
861	cg21306540
862	cg21308993
863	cg21361021
864	cg21365733
865	cg21515671
866	cg21531033
867	cg21531416
868	cg21566773
869	cg21572731
870	cg21580885
871	cg21600626
872	cg21618197
873	cg21634264
874	cg21640060
875	cg21655750
876	cg21685138
877	cg21710377
878	cg21714044
879	cg21767619
880	cg21776667
881	cg21781671
882	cg21782213
883	cg21796654
884	cg21822146
885	cg21857449
886	cg21889405
887	cg21892407
888	cg21913632
889	cg21927637
890	cg22031103
891	cg22034357
892	cg22034554
893	cg22043544
894	cg22053084
895	cg22053687
896	cg22149742
897	cg22209098
898	cg22236626
899	cg22272473
900	cg22275570
901	cg22277972
902	cg22317385
903	cg22322597
904	cg22324641
905	cg22335876
906	cg22449583
907	cg22488278
908	cg22549335
909	cg22572158
910	cg22577252
911	cg22581137
912	cg22584802
913	cg22613732
914	cg22653279
915	cg22710544
916	cg22714798
917	cg22757418
918	cg22791839
919	cg22833382
920	cg22854419
921	cg22868237
922	cg22888181
923	cg22897715
924	cg22962965
925	cg23045908
926	cg23084667
927	cg23160742
928	cg23183121
929	cg23199601
930	cg23357708
931	cg23359742
932	cg23368159
933	cg23390360
934	cg23416131
935	cg23451129
936	cg23509869
937	cg23517035
938	cg23520422
939	cg23626895
940	cg23633330
941	cg23663698
942	cg23719713
943	cg23737049
944	cg23760254
945	cg23788058
946	cg23823732
947	cg23831998
948	cg23850174
949	cg23856536
950	cg23883802
951	cg23950233
952	cg23966363
953	cg23980295
954	cg23990557
955	cg24031653
956	cg24035164
957	cg24084719
958	cg24106880
959	cg24111259
960	cg24164702
961	cg24202817
962	cg24219974
963	cg24309788
964	cg24344074
965	cg24363415
966	cg24380380
967	cg24420338
968	cg24467291
969	cg24481177
970	cg24501859
971	cg24515352
972	cg24557547
973	cg24577873
974	cg24585833
975	cg24609140
976	cg24618999
977	cg24626542
978	cg24691891
979	cg24736010
980	cg24756631
981	cg24760187
982	cg24777176
983	cg24819035
984	cg24820204
985	cg24920933
986	cg24921089
987	cg24957609
988	cg25019378
989	cg25026693
990	cg25236958
991	cg25242306
992	cg25327212
993	cg25370567
994	cg25375589
995	cg25381747
996	cg25404597
997	cg25435020
998	cg25446602
999	cg25494723
1000	cg25527108
1001	cg25559081
1002	cg25593954
1003	cg25594549
1004	cg25597579
1005	cg25600606
1006	cg25602536
1007	cg25605773
1008	cg25693349
1009	cg25720371
1010	cg25774608
1011	cg25775708
1012	cg25778871
1013	cg25837094
1014	cg25884442
1015	cg25899324
1016	cg25904398
1017	cg25909535
1018	cg25939505
1019	cg25940485
1020	cg25978218
1021	cg26011170
1022	cg26019558
1023	cg26074552
1024	cg26078436
1025	cg26091247
1026	cg26177201
1027	cg26221105
1028	cg26231070
1029	cg26252958
1030	cg26264767
1031	cg26272088
1032	cg26274118
1033	cg26327551
1034	cg26358286
1035	cg26366091
1036	cg26417135
1037	cg26418349
1038	cg26441038
1039	cg26555703
1040	cg26610808
1041	cg26616627
1042	cg26661738
1043	cg26683792
1044	cg26686146
1045	cg26691434
1046	cg26695387
1047	cg26755038
1048	cg26787199
1049	cg26796793
1050	cg26857965
1051	cg26905726
1052	cg26935416
1053	cg26952381
1054	cg26953469
1055	cg26965801
1056	cg26971042
1057	cg26980692
1058	cg26988016
1059	cg26988146
1060	cg26999041
1061	cg27014729
1062	cg27057036
1063	cg27079118
1064	cg27087377
1065	cg27096957
1066	cg27111050
1067	cg27177308
1068	cg27225309
1069	cg27229366
1070	cg27276522
1071	cg27278086
1072	cg27297043
1073	cg27298253
1074	cg27317179
1075	cg27345524
1076	cg27363672
1077	cg27387307
1078	cg27393431
1079	cg27400424
1080	cg27406433
1081	cg27423323
1082	cg27461243
1083	cg27468773
1084	cg27469152
1085	cg27551910
1086	cg27582235
1087	cg27588321
1088	ch.11.96117892F
1089	ch.15.67797584R
